Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
928.85,18577,46.8733,76.7198,-1.02434,50.5387,0.0588558,0.973334
928.95,18579,47.0126,76.969,-1.02443,50.4391,0.0583528,0.966045
929.05,18581,47.1531,77.2183,-1.02453,50.3423,0.0578133,0.95687
929.15,18583,47.2947,77.4677,-1.02464,50.2484,0.057243,0.94591
929.25,18585,47.4375,77.7172,-1.02476,50.1572,0.0566476,0.933287
929.35,18587,47.5813,77.9668,-1.02489,50.0689,0.0560329,0.919134
929.45,18589,47.7263,78.2165,-1.02502,49.9834,0.0554049,0.903602
929.55,18591,47.8725,78.4664,-1.02517,49.9007,0.054769,0.886842
929.65,18593,48.0197,78.7164,-1.02532,49.8207,0.054131,0.869025
929.75,18595,48.168,78.9665,-1.02547,49.7434,0.0534961,0.850323
929.85,18597,48.3174,79.2167,-1.02563,49.6689,0.0528694,0.830918
929.95,18599,48.4679,79.4671,-1.02578,49.597,0.0522556,0.810996
930.05,18601,48.6195,79.7176,-1.02593,49.5279,0.0516592,0.790741
930.15,18603,48.7721,79.9683,-1.02608,49.4614,0.0510842,0.770344
930.25,18605,48.9258,80.219,-1.02623,49.3975,0.050534,0.749984
930.35,18607,49.0805,80.47,-1.02637,49.3362,0.0500118,0.729842
930.45,18609,49.2363,80.7211,-1.02651,49.2775,0.0495202,0.710094
930.55,18611,49.3931,80.9723,-1.02663,49.2214,0.0490614,0.690909
930.65,18613,49.5509,81.2237,-1.02675,49.1677,0.0486369,0.672443
930.75,18615,49.7097,81.4752,-1.02686,49.1166,0.0482479,0.654845
930.85,18617,49.8695,81.727,-1.02696,49.068,0.0478951,0.638249
930.95,18619,50.0304,81.9788,-1.02704,49.0218,0.0475787,0.622779
931.05,18621,50.1921,82.2309,-1.02712,48.978,0.0472983,0.608536
931.15,18623,50.3549,82.4831,-1.02718,48.9366,0.0470533,0.595622
931.25,18625,50.5186,82.7355,-1.02723,48.8975,0.0468426,0.584106
931.35,18627,50.6833,82.9881,-1.02727,48.8608,0.0466647,0.574052
